feature,importance
일사량,0.76196265
일조시간,0.059111655
총강수량,0.053438447
총적설량,0.028604846
평균풍속,0.027660185
평균기온,0.025616074
평균운량,0.023433965
평균습도,0.020172155
설비용량(MW),0.0
