발전기명,R2,RMSE,MAE,MAPE(%),NRMSE,데이터수
경상대태양광,0.8161317198452434,0.5304409563610434,0.3548960388922464,26.205567190525386,0.18901381332045522,1046
고흥만수상태양광,0.6808654536311142,59.74313341569734,37.55097893579919,134.17084525773166,0.25859511611939073,484
광양항세방태양광,0.819721752254756,1.766753442452071,1.280449258118478,24.812759102824817,0.20679922718542054,1068
구미태양광,0.8417263319416262,0.5503500211657628,0.4070799676341119,16.468680761373854,0.16653371771284647,1070
당진태양광,0.7976699133443126,1.8272901944676907,1.3116707406809482,2189.761859412579,0.21632275204257917,1165
동해바이오화력본부태양광,0.7902670901950437,1.1597437272636295,0.7189408820074003,905.3949266642434,0.22576797411134197,1163
보령태양광,0.7775195216804296,2.194890415953333,1.6074794619888306,30.999919660410168,0.19461255102717606,700
서울태양광,0.8370129508109162,0.818191309292568,0.6233618767658207,1039.619372885699,0.17082158862794924,691
서천태양광,0.84668089733327,2.23392362207035,1.7315734297604153,1139.9137476615115,0.17123253971450614,698
세종태양광,0.8460370420522931,0.16759018935892586,0.12488842679568697,15.428812668288097,0.14957876876059634,700
신보령태양광,0.8276854950564536,2.7623078218839514,2.108871891758404,25.517624333658436,0.1970070557365222,695
여수엑스포태양광,0.9030851749462013,1.1551978570128538,0.9069595733288551,47.33636548376379,0.14833374034311006,694
영흥태양광,0.6958419308335868,4.655120597370584,3.314320460598412,34.060754726482884,0.25278162129550663,1087
예천태양광,0.7411689293555204,1.5299386233286805,1.122729161199296,45.33973467314338,0.23740222621364745,1008
울산태양광#1,0.8065048930138997,0.31564010986753677,0.20637852935510875,627.8585626456468,0.1839766348203183,1157
인천아시아드태양광,0.6940760451050872,1.4280750819362131,1.0670633829733667,14.13931833963612,0.16215961685830463,235
인천태양광,0.7871576057053413,0.9594153658824698,0.6619377425229269,120.5716979536784,0.22792651323241003,678
제주대태양광,0.7932748764689287,0.7904646684282011,0.6189568635921828,592.1603129728393,0.2698254755338412,678
제주성읍리태양광,0.704890153521124,1.748849631278915,1.3467728231557572,28.974961765443684,0.2589280481655702,700
제주태양광,0.8091816679712066,0.7118824557667296,0.5161815006987708,32.38891179542264,0.22707251509420812,698
