변수명,중요도
일조시간,0.37533385
일사량,0.229711
총강수량,0.11538697
평균습도,0.10126216
평균풍속,0.047481477
평균기온,0.046394303
평균운량,0.044926994
총적설량,0.039503206
설비용량(MW),0.0
