변수명,중요도
일사량,0.5847868
일조시간,0.122935265
총강수량,0.06806541
총적설량,0.055566307
평균습도,0.04908277
평균기온,0.04383773
평균풍속,0.04139815
평균운량,0.034327615
설비용량(MW),0.0
