변수명,중요도
일사량,0.7383412
일조시간,0.123962134
평균습도,0.04983173
총강수량,0.02976945
평균기온,0.023571149
평균운량,0.017692743
평균풍속,0.01305999
총적설량,0.0037716862
설비용량(MW),0.0
