변수명,중요도
일조시간,0.39685038
일사량,0.36401087
평균습도,0.062324483
평균기온,0.044008337
총강수량,0.042524606
총적설량,0.036117014
평균운량,0.028555391
평균풍속,0.025608873
설비용량(MW),0.0
