변수명,중요도
일사량,0.65484875
일조시간,0.10933865
총강수량,0.074458666
평균기온,0.04359433
평균운량,0.031789042
총적설량,0.029991852
평균습도,0.029272037
평균풍속,0.026706634
설비용량(MW),0.0
