변수명,중요도
일사량,0.39874575
일조시간,0.2743075
총강수량,0.13179708
평균운량,0.047480114
평균습도,0.042420965
평균기온,0.040101107
평균풍속,0.035626072
총적설량,0.029521456
설비용량(MW),0.0
