변수명,중요도
일사량,0.5017903
일조시간,0.30550617
총강수량,0.07716197
평균습도,0.03156951
평균운량,0.0294288
평균기온,0.027099373
평균풍속,0.022131171
총적설량,0.005312754
설비용량(MW),0.0
