변수명,중요도
일조시간,0.43140882
일사량,0.31888565
총강수량,0.11854195
평균습도,0.03248392
평균운량,0.032095943
평균기온,0.025078265
총적설량,0.022663843
평균풍속,0.018841578
설비용량(MW),0.0
