변수명,중요도
일조시간,0.38872927
일사량,0.33906165
평균습도,0.07287229
평균운량,0.057896912
평균기온,0.04099259
평균풍속,0.032937583
총강수량,0.030114802
설비용량(MW),0.02021187
총적설량,0.017183011
