변수명,중요도
일사량,0.7080575
일조시간,0.10542027
총강수량,0.052994125
총적설량,0.032949146
평균기온,0.02851286
평균풍속,0.026688952
평균습도,0.023041155
평균운량,0.022335976
설비용량(MW),0.0
