변수명,중요도
일사량,0.59746164
일조시간,0.1522123
총강수량,0.068960145
총적설량,0.040001508
평균기온,0.03916588
평균운량,0.037177548
평균풍속,0.0343386
평균습도,0.030682359
설비용량(MW),0.0
