변수명,중요도
일조시간,0.4408053
일사량,0.37170208
평균운량,0.044375297
총강수량,0.037922043
평균기온,0.033415727
평균풍속,0.031110115
평균습도,0.02898136
총적설량,0.011688029
설비용량(MW),0.0
