변수명,중요도
일조시간,0.43469265
일사량,0.27337906
총강수량,0.09893006
평균습도,0.056494083
평균운량,0.043605812
평균기온,0.04265677
평균풍속,0.026670266
총적설량,0.023571288
설비용량(MW),0.0
