mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.10703229904174805,0.0150645547902191,0.0070726871490478516,0.003492333704256173,,sqrt,1,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7779363919185075,0.8081012052538648,0.7843376229491401,0.7901250733738374,0.012976900700937384,155
0.2857930660247803,0.01602082890135406,0.018993616104125977,0.003120527216145321,,sqrt,1,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.7790353601649532,0.8153073942167928,0.7916377460048196,0.7953268334621887,0.015036004306675345,69
0.4603602886199951,0.03640840849983182,0.01889665921529134,0.003749140944282759,,sqrt,1,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.780248410304516,0.8160153247180647,0.7866499224269025,0.794304552483161,0.015572691110619749,111
0.07868027687072754,0.006128735344084675,0.004833062489827474,0.002570244554602376,,sqrt,1,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7777829676382195,0.8050015779299441,0.7929699303327112,0.7919181586336249,0.011136811462695618,135
0.2786108652750651,0.013229797164245227,0.013327360153198242,0.0023869114157412793,,sqrt,1,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.7833410106504046,0.8151233957359554,0.7965982162554217,0.7983542075472606,0.013034380933882008,17
0.4512062072753906,0.02765951402021341,0.021843830744425457,0.0029643597742642093,,sqrt,1,5,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.7843282621079439,0.8160145052442739,0.7936322639457177,0.7979916770993118,0.013298066609008776,25
0.08560474713643391,0.006270010411357767,0.002898613611857096,4.5161427131974575e-05,,sqrt,1,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.7881779884921196,0.8038622902759822,0.7937824080137236,0.7952742289272751,0.006489400477722691,75
0.25878222783406574,0.007818575100646152,0.01187745730082194,0.0034755396239554894,,sqrt,1,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.7895843026032247,0.8099711332602479,0.7941115932370252,0.797889009700166,0.008740990501140446,29
0.4238579273223877,0.02742270044891054,0.01744667689005534,0.0024217856011133276,,sqrt,1,10,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.7868628683940846,0.8110522413426515,0.7917371561339773,0.7965507552902378,0.01044539750445395,51
0.07439780235290527,0.013416077438248722,0.0049555301666259766,0.002841380581626887,,sqrt,2,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7770476346669777,0.809108735577382,0.7943135489461672,0.793489973063509,0.013101838441548453,127
0.27025405565897626,0.014062499199231436,0.010222752888997396,0.0027978796038302567,,sqrt,2,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.7835099101042802,0.8154016089884765,0.793219071328892,0.7973768634738828,0.013347547616716528,37
0.4314403533935547,0.010764898591358561,0.018599271774291992,0.002352653129123081,,sqrt,2,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.7860335812954782,0.816165810376335,0.7905687655744378,0.7975893857487503,0.013265359351063724,33
0.09357309341430664,0.006021209334990359,0.00564726193745931,0.0017865320116553982,,sqrt,2,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7782700031120849,0.8183645942992568,0.7930358142012781,0.7965568038708732,0.01655681303485379,47
0.23681171735127768,0.002510033255713867,0.007466236750284831,0.00019774722427450998,,sqrt,2,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.7854071786489388,0.8180654398622917,0.7967268679662677,0.8000664954924995,0.01354019547816479,1
0.4262673060099284,0.009736253989237316,0.019858678181966145,0.0015912546008603804,,sqrt,2,5,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.7852697250426404,0.8160265976656237,0.7942720046913188,0.798522775799861,0.012911186226150766,11
0.09772857030232747,0.0255840053946456,0.0038007100423177085,0.000771728012339151,,sqrt,2,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.7796383328498278,0.8072181947629441,0.7888997378233229,0.7919187551453648,0.011460018760302669,131
0.26030580202738446,0.014211904461940053,0.0088346799214681,0.0022281698881526663,,sqrt,2,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.7850638768947469,0.8120741219275058,0.790362232143557,0.7958334103219366,0.011685851193561731,61
