mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.17759466171264648,0.0014640656949918376,0.008306741714477539,0.0012951797399992548,,sqrt,1,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8117660373641654,0.8595409994566591,0.8519849029600428,0.8410973132602891,0.02096849156611635,105
0.5746567249298096,0.017266765157701248,0.026027679443359375,0.002715554968403512,,sqrt,1,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8127776505195257,0.8599637156497992,0.8529475768534538,0.8418963143409263,0.02078828176257324,55
0.944191058476766,0.01339692171829322,0.04282919565836588,0.0013271955815612705,,sqrt,1,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.811982391932198,0.8607668432140638,0.8528504345027789,0.8418665565496802,0.02137701028183641,57
0.17283169428507486,0.011371276184394525,0.010857025782267252,0.0035527550169375303,,sqrt,1,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8081995826913635,0.8563804771526402,0.8508166030856816,0.8384655543098951,0.02152147690360437,155
0.5031517346700033,0.005259967977496102,0.02477892239888509,0.004230778651019606,,sqrt,1,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8112501243256597,0.8608847168098083,0.852433533754305,0.8415227916299243,0.021682272529194996,81
0.8776178359985352,0.029102050205168768,0.03221877415974935,0.005276484590149291,,sqrt,1,5,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.8127313473233013,0.8614842677204572,0.8513839560571581,0.8418665237003055,0.02101028241620916,59
0.1701366106669108,0.005121697544058236,0.008674383163452148,0.0015662071356892628,,sqrt,1,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.810708898887495,0.8599982863961055,0.8529235622202119,0.8412102491679375,0.02176024214385693,97
0.4667665163675944,0.01170044214097789,0.022534608840942383,0.004556897618413921,,sqrt,1,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.8103850369203611,0.860745945491332,0.8512908234352261,0.8408072686156398,0.021855342127496367,123
0.8039200305938721,0.03143063218075363,0.029912869135538738,0.003350975542766122,,sqrt,1,10,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.810111021874628,0.8618966090954812,0.8514519853004012,0.8411532054235035,0.022360462296454466,101
0.16249966621398926,0.007611030040765438,0.008038043975830078,0.0016266771241600342,,sqrt,2,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8135435519884198,0.8638772220275494,0.8541406557944916,0.8438538099368204,0.021798073052093553,1
0.5223437150319418,0.008262534876812631,0.020414352416992188,0.002326026393871854,,sqrt,2,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.8132779481992327,0.8640084155742741,0.8535197547090878,0.8436020394941982,0.02186574011759453,5
0.8178194363911947,0.029443677193737392,0.04132819175720215,0.009927381606934646,,sqrt,2,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.8139500615074405,0.8649506476774727,0.8516646247774801,0.8435217779874643,0.021602382782245248,9
0.16224869092305502,0.0077643014220064015,0.00811306635538737,0.0017472704666173218,,sqrt,2,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8090882242265269,0.8598973317194396,0.8531989905641034,0.8407281821700233,0.022539330773235524,125
0.4826212724049886,0.014925905126936449,0.020748138427734375,0.0007320789386569416,,sqrt,2,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.8095862459883306,0.8641919690351193,0.8527582096337512,0.842178808219067,0.023514379261569754,37
0.8121429284413656,0.021855541350860687,0.03437479337056478,0.0031535903574494563,,sqrt,2,5,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.8102459661758874,0.8641746495989427,0.8519993388567326,0.8421399848771877,0.023093734642488484,41
0.15007217725118002,0.003704704637078377,0.006641467412312825,0.0016431692967335155,,sqrt,2,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.8109455150420226,0.8622301061761208,0.8526026436318705,0.8419260882833379,0.022256369088879045,51
0.45534785588582355,0.013715422134131376,0.017711877822875977,0.001987716184077853,,sqrt,2,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.8124813582918593,0.8633920180789314,0.8522238562816528,0.8426990775508144,0.02184818646009049,17
