mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.11635295550028484,0.003165606682102366,0.0062436262766520185,0.0012068856227240834,,sqrt,1,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7728144345838006,0.7706702096138272,0.7727056850437666,0.7720634430804648,0.0009861647039697895,49
0.4053191343943278,0.00508647341963594,0.01838199297587077,0.002388786695303843,,sqrt,1,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.7758789657058385,0.7707971563331839,0.7725879764004586,0.7730880328131603,0.002104556792124022,25
0.7227512200673422,0.019452373167550104,0.04339273770650228,0.011459526583195136,,sqrt,1,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.7765269700757071,0.7720931963916483,0.7728590459529826,0.7738264041401127,0.001935014843529436,9
0.13901805877685547,0.009075093003068952,0.006275018056233724,0.001957327402114189,,sqrt,1,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7716187407924405,0.7724820884852167,0.7678602649967161,0.7706536980914578,0.0020064551910860128,107
0.3900473117828369,0.019877082255142575,0.014150381088256836,0.0034204415314263324,,sqrt,1,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.7742574019215547,0.7710896142248455,0.76982473409353,0.7717239167466433,0.0018643838634198706,57
0.6848156452178955,0.02802636644015233,0.02836306889851888,0.002825445943895088,,sqrt,1,5,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.7771497206579258,0.7704717792774051,0.7687585600887361,0.7721266866746891,0.003620030643946682,45
0.12768967946370444,0.013555515664745315,0.006414016087849935,0.0019654541018027136,,sqrt,1,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.7737775954964821,0.7639835376201463,0.7751837434118387,0.770981625509489,0.00498158198234187,89
0.3749728202819824,0.021587842938924143,0.015998363494873047,0.003775456424439535,,sqrt,1,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.7753688418585825,0.7640829955244897,0.7700756508443771,0.7698424960758165,0.004610376176175208,141
0.6071674823760986,0.017977407951412585,0.021546602249145508,0.0026607089213039723,,sqrt,1,10,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.7767025800071146,0.765102042864484,0.7704714242658339,0.7707586823791441,0.004740253398088518,101
0.12386830647786458,0.008676418015466964,0.00849167505900065,0.0032690404460341224,,sqrt,2,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7754993531278924,0.7621498802607406,0.7723069299668122,0.7699853877851485,0.005691764520406585,135
0.38731805483500165,0.010824610108619142,0.014815489451090494,0.002088820438558746,,sqrt,2,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.7765844305883306,0.7653392506912143,0.7732623717808151,0.7717286843534534,0.0047171789290678555,53
0.6529246966044108,0.0073228437232087705,0.02509935696919759,0.005712018917821436,,sqrt,2,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",0.7775961525749182,0.7676209518141696,0.773480503534118,0.7728992026410686,0.004093050256268149,27
0.12406102816263835,0.0013795881076707124,0.010671377182006836,0.002249875532419706,,sqrt,2,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.775899668530855,0.7714901494977605,0.7769306250032175,0.7747734810106109,0.00235950802491175,1
0.37906670570373535,0.012369951982290794,0.01682003339131673,0.007344487561368604,,sqrt,2,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.7796099254929472,0.7674454419537605,0.7739075450796997,0.773654304175469,0.00496935697788405,13
0.6393705209096273,0.01208743600826928,0.031946261723836265,0.004705150818611133,,sqrt,2,5,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.7787649071651751,0.7673249611486663,0.7737360707387576,0.773275313017533,0.00468168876036627,17
0.12760194142659506,0.011042539765038653,0.005236705144246419,0.0010855628834125905,,sqrt,2,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.773407667392415,0.7678354505339691,0.7725421775976585,0.7712617651746808,0.0024483997711530993,77
0.3553536732991536,0.005183432275271585,0.014958620071411133,0.0008122487691562747,,sqrt,2,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.779135831535192,0.763865745126587,0.7700134116844993,0.7710049961154262,0.0062732933665557,85
