발전기명,변수,중요도,누적 중요도,R²,순위
신보령태양광,일사량,0.4875830433879122,0.4875830433879122,0.8371,1
신보령태양광,일조시간,0.36978994435226764,0.8573729877401799,0.8371,2
신보령태양광,평균습도,0.0559343637110774,0.9133073514512573,0.8371,3
신보령태양광,평균풍속,0.025562533736725575,0.9388698851879829,0.8371,4
신보령태양광,평균기온,0.02484620366010168,0.9637160888480846,0.8371,5
신보령태양광,평균운량,0.018083628920376862,0.9817997177684614,0.8371,6
신보령태양광,총강수량,0.01520367569835105,0.9970033934668124,0.8371,7
신보령태양광,총적설량,0.0029966065331875607,1.0,0.8371,8
신보령태양광,설비용량(MW),0.0,1.0,0.8371,9
