Model,R2,RMSE,MAE
Voting,0.7117261439270484,56.14021622601108,37.250986717841386
Stacking,0.6991175068629006,57.354818766952576,37.103809857485274
Blending,0.730598171264335,54.2714871124103,36.18008850668502
