날짜,발전기명,설비용량(MW),발전량(MWh)
2022.5.19,경상대태양광,0.905,3.62232
2022.5.20,경상대태양광,0.905,3.52152
2022.5.21,경상대태양광,0.905,4.11624
2022.5.22,경상대태양광,0.905,4.71312
2022.5.23,경상대태양광,0.905,4.18104
2022.5.24,경상대태양광,0.905,4.69872
2022.5.25,경상대태양광,0.905,4.69728
2022.5.26,경상대태양광,0.905,4.93632
2022.5.27,경상대태양광,0.905,4.37256
2022.5.28,경상대태양광,0.905,3.924
2022.5.29,경상대태양광,0.905,5.01984
2022.5.30,경상대태양광,0.905,3.14856
2022.5.31,경상대태양광,0.905,4.986
2022.6.1,경상대태양광,0.905,4.74696
2022.6.2,경상대태양광,0.905,4.94352
2022.6.3,경상대태양광,0.905,4.66056
2022.6.4,경상대태양광,0.905,4.08312
2022.6.5,경상대태양광,0.905,0.52128
2022.6.6,경상대태양광,0.905,3.71592
2022.6.7,경상대태양광,0.905,1.58688
2022.6.8,경상대태양광,0.905,2.916
2022.6.9,경상대태양광,0.905,4.49352
2022.6.10,경상대태양광,0.905,3.75912
2022.6.11,경상대태양광,0.905,3.36816
2022.6.12,경상대태양광,0.905,3.8628
2022.6.13,경상대태양광,0.905,2.06136
2022.6.14,경상대태양광,0.905,0.93312
2022.6.15,경상대태양광,0.905,4.14576
2022.6.16,경상대태양광,0.905,4.52088
2022.6.17,경상대태양광,0.905,4.18536
2022.6.18,경상대태양광,0.905,4.34664
2022.6.19,경상대태양광,0.905,4.67856
2022.6.20,경상대태양광,0.905,3.80664
2022.6.21,경상대태양광,0.905,4.17456
2022.6.22,경상대태양광,0.905,4.59648
2022.6.23,경상대태양광,0.905,2.3688
2022.6.24,경상대태양광,0.905,3.00816
2022.6.25,경상대태양광,0.905,3.64248
2022.6.26,경상대태양광,0.905,3.28536
2022.6.27,경상대태양광,0.905,1.51344
2022.6.28,경상대태양광,0.905,1.22832
2022.6.29,경상대태양광,0.905,2.61864
2022.6.30,경상대태양광,0.905,4.73184
2022.7.1,경상대태양광,0.905,4.78872
2022.7.2,경상대태양광,0.905,4.302
2022.7.3,경상대태양광,0.905,4.25664
2022.7.4,경상대태양광,0.905,2.90736
2022.7.5,경상대태양광,0.905,3.05064
2022.7.6,경상대태양광,0.905,3.88296
2022.7.7,경상대태양광,0.905,4.03488
2022.7.8,경상대태양광,0.905,2.1276
2022.7.9,경상대태양광,0.905,3.8592
2022.7.10,경상대태양광,0.905,4.16664
2022.7.11,경상대태양광,0.905,1.20888
2022.7.12,경상대태양광,0.905,2.39832
2022.7.13,경상대태양광,0.905,1.46376
2022.7.14,경상대태양광,0.905,3.582
2022.7.15,경상대태양광,0.905,4.42872
2022.7.16,경상대태양광,0.905,4.536
2022.7.17,경상대태양광,0.905,3.58704
2022.7.18,경상대태양광,0.905,0.32832
2022.7.19,경상대태양광,0.905,3.65976
2022.7.20,경상대태양광,0.905,4.29336
2022.7.21,경상대태양광,0.905,3.2292
2022.7.22,경상대태양광,0.905,3.60792
2022.7.23,경상대태양광,0.905,2.28096
2022.7.24,경상대태양광,0.905,3.87504
2022.7.25,경상대태양광,0.905,4.14288
2022.7.26,경상대태양광,0.905,3.03624
2022.7.27,경상대태양광,0.905,4.16664
2022.7.28,경상대태양광,0.905,2.57904
2022.7.29,경상대태양광,0.905,3.68208
2022.7.30,경상대태양광,0.905,1.53576
2022.7.31,경상대태양광,0.905,0.67896
2022.8.1,경상대태양광,0.905,0.94752
2022.8.2,경상대태양광,0.905,2.09232
2022.8.3,경상대태양광,0.905,3.6576
2022.8.4,경상대태양광,0.905,3.52656
2022.8.5,경상대태양광,0.905,3.12984
2022.8.6,경상대태양광,0.905,3.73752
2022.8.7,경상대태양광,0.905,3.80376
2022.8.8,경상대태양광,0.905,3.12768
2022.8.9,경상대태양광,0.905,2.50128
2022.8.10,경상대태양광,0.905,2.08872
2022.8.11,경상대태양광,0.905,0.918
2022.8.12,경상대태양광,0.905,3.12264
2022.8.13,경상대태양광,0.905,3.25728
2022.8.14,경상대태양광,0.905,3.79584
2022.8.15,경상대태양광,0.905,3.5532
2022.8.16,경상대태양광,0.905,0.7236
2022.8.17,경상대태양광,0.905,1.23624
2022.8.18,경상대태양광,0.905,4.15368
2022.8.19,경상대태양광,0.905,3.64248
2022.8.20,경상대태양광,0.905,1.1052
2022.8.21,경상대태양광,0.905,3.49488
2022.8.22,경상대태양광,0.905,4.26816
2022.8.23,경상대태양광,0.905,1.90584
2022.8.24,경상대태양광,0.905,0.93024
2022.8.25,경상대태양광,0.905,3.99312
2022.8.26,경상대태양광,0.905,4.6872
2022.8.27,경상대태양광,0.905,3.2328
2022.8.28,경상대태양광,0.905,4.22784
2022.8.29,경상대태양광,0.905,2.19528
2022.8.30,경상대태양광,0.905,0.396
2022.8.31,경상대태양광,0.905,1.45584
2022.9.1,경상대태양광,0.905,1.56672
2022.9.2,경상대태양광,0.905,0.27648
2022.9.3,경상대태양광,0.905,1.13256
2022.9.4,경상대태양광,0.905,2.61792
2022.9.5,경상대태양광,0.905,0.51768
2022.9.6,경상대태양광,0.905,4.19688
2022.9.7,경상대태양광,0.905,4.57848
2022.9.8,경상대태양광,0.905,4.31784
2022.9.9,경상대태양광,0.905,4.0752
2022.9.10,경상대태양광,0.905,1.89864
2022.9.11,경상대태양광,0.905,3.04632
2022.9.12,경상대태양광,0.905,1.71648
2022.9.13,경상대태양광,0.905,2.6028
2022.9.14,경상대태양광,0.905,2.58984
2022.9.15,경상대태양광,0.905,2.33496
2022.9.16,경상대태양광,0.905,2.47104
2022.9.17,경상대태양광,0.905,2.80008
2022.9.18,경상대태양광,0.905,3.24504
2022.9.19,경상대태양광,0.905,3.078
2022.9.20,경상대태양광,0.905,3.37248
2022.9.21,경상대태양광,0.905,3.79368
2022.9.22,경상대태양광,0.905,3.8988
2022.9.23,경상대태양광,0.905,3.89952
2022.9.24,경상대태양광,0.905,4.13712
2022.9.25,경상대태양광,0.905,1.40112
2022.9.26,경상대태양광,0.905,1.16064
2022.9.27,경상대태양광,0.905,3.95568
2022.9.28,경상대태양광,0.905,2.79576
2022.9.29,경상대태양광,0.905,4.2192
2022.9.30,경상대태양광,0.905,4.15728
2022.10.1,경상대태양광,0.905,4.03416
2022.10.2,경상대태양광,0.905,3.4416
2022.10.3,경상대태양광,0.905,2.3148
2022.10.4,경상대태양광,0.905,1.27368
2022.10.5,경상대태양광,0.905,2.22624
2022.10.6,경상대태양광,0.905,2.35584
2022.10.7,경상대태양광,0.905,2.886552
2022.10.8,경상대태양광,0.905,3.172392
2022.10.9,경상대태양광,0.905,0.838368
2022.10.10,경상대태양광,0.905,3.873744
2022.10.11,경상대태양광,0.905,4.382352
2022.10.12,경상대태양광,0.905,4.099536
2022.10.13,경상대태양광,0.905,4.014576
2022.10.14,경상대태양광,0.905,4.004208
2022.10.15,경상대태양광,0.905,3.99132
2022.10.16,경상대태양광,0.905,3.91572
2022.10.17,경상대태양광,0.905,3.836592
2022.10.18,경상대태양광,0.905,4.2516
2022.10.19,경상대태양광,0.905,4.218696
2022.10.20,경상대태양광,0.905,4.107096
2022.10.21,경상대태양광,0.905,2.415456
2022.10.22,경상대태양광,0.905,2.71404
2022.10.23,경상대태양광,0.905,3.680568
2022.10.24,경상대태양광,0.905,4.019832
2022.10.25,경상대태양광,0.905,3.936168
2022.10.26,경상대태양광,0.905,3.507624
2022.10.27,경상대태양광,0.905,3.669912
2022.10.28,경상대태양광,0.905,3.413016
2022.10.29,경상대태양광,0.905,2.929752
2022.10.30,경상대태양광,0.905,3.162816
2022.10.31,경상대태양광,0.905,3.629664
2022.11.1,경상대태양광,0.905,3.532464
2022.11.2,경상대태양광,0.905,3.543264
2022.11.3,경상대태양광,0.905,3.38076
2022.11.4,경상대태양광,0.905,3.732408
2022.11.5,경상대태양광,0.905,3.77352
2022.11.6,경상대태양광,0.905,3.549096
2022.11.7,경상대태양광,0.905,3.302136
2022.11.8,경상대태양광,0.905,3.365136
2022.11.9,경상대태양광,0.905,3.24288
2022.11.10,경상대태양광,0.905,2.960928
2022.11.11,경상대태양광,0.905,2.785464
2022.11.12,경상대태양광,0.905,1.752912
2022.11.13,경상대태양광,0.905,1.129392
2022.11.14,경상대태양광,0.905,1.197288
2022.11.15,경상대태양광,0.905,3.498192
2022.11.16,경상대태양광,0.905,3.164256
2022.11.17,경상대태양광,0.905,3.158712
2022.11.18,경상대태양광,0.905,3.4722
2022.11.19,경상대태양광,0.905,2.751048
2022.11.20,경상대태양광,0.905,0.90648
2022.11.21,경상대태양광,0.905,2.008944
2022.11.22,경상대태양광,0.905,0.64728
2022.11.23,경상대태양광,0.905,2.84976
2022.11.24,경상대태양광,0.905,2.47356
2022.11.25,경상대태양광,0.905,2.898936
2022.11.26,경상대태양광,0.905,3.03552
2022.11.27,경상대태양광,0.905,2.83644
2022.11.28,경상대태양광,0.905,0.683928
2022.11.29,경상대태양광,0.905,0.674928
2022.11.30,경상대태양광,0.905,2.145888
2022.12.1,경상대태양광,0.905,2.611368
2022.12.2,경상대태양광,0.905,3.4344
2022.12.3,경상대태양광,0.905,1.265832
2022.12.4,경상대태양광,0.905,2.151288
2022.12.5,경상대태양광,0.905,1.998432
2022.12.6,경상대태양광,0.905,3.07548
2022.12.7,경상대태양광,0.905,2.895264
2022.12.8,경상대태양광,0.905,2.867256
2022.12.9,경상대태양광,0.905,2.341512
2022.12.10,경상대태양광,0.905,1.187496
2022.12.11,경상대태양광,0.905,3.0222
2022.12.12,경상대태양광,0.905,1.011168
2022.12.13,경상대태양광,0.905,2.19276
2022.12.14,경상대태양광,0.905,3.35808
2022.12.15,경상대태양광,0.905,3.14064
2022.12.16,경상대태양광,0.905,2.61504
2022.12.17,경상대태양광,0.905,2.003544
2022.12.18,경상대태양광,0.905,3.134088
2022.12.19,경상대태양광,0.905,3.101976
2022.12.20,경상대태양광,0.905,3.07332
2022.12.21,경상대태양광,0.905,0.507456
2022.12.22,경상대태양광,0.905,2.35116
2022.12.23,경상대태양광,0.905,2.819232
2022.12.24,경상대태양광,0.905,3.255264
2022.12.25,경상대태양광,0.905,3.26304
2022.12.26,경상대태양광,0.905,2.179872
2022.12.27,경상대태양광,0.905,3.152088
2022.12.28,경상대태양광,0.905,2.549952
2022.12.29,경상대태양광,0.905,3.09924
2022.12.30,경상대태양광,0.905,2.818944
2022.12.31,경상대태양광,0.905,3.182976
2023.1.1,경상대태양광,0.905,2.715264
2023.1.2,경상대태양광,0.905,3.235176
