feature,importance
일사량,0.7318966
일조시간,0.1194367
평균습도,0.052375987
총강수량,0.033842362
평균기온,0.026032656
평균운량,0.01795235
평균풍속,0.013424724
총적설량,0.0050386083
설비용량(MW),0.0
