R2,RMSE,MAE,발전기명
0.6828758815170177,0.7193997326084675,0.4385998340162592,경상대태양광
0.7568713596240713,49.56763234641924,34.5168113802129,고흥만수상태양광
0.7423200655056574,2.143749738836829,1.426007901360987,광양항세방태양광
0.7723902595888349,0.676458645598155,0.4597701259906787,구미태양광
0.6973437827187855,2.2071150602762377,1.5313392609374104,당진태양광
0.7198130510487745,1.2756806178465288,0.8083324514956204,동해바이오화력본부태양광
0.8056593918107501,2.082802459435002,1.5396139648493643,보령태양광
0.7987195039459402,0.872341464527294,0.6401091129494803,서울태양광
0.8497000615583349,2.139341024236352,1.6519698913516736,서천태양광
0.8692801457466989,0.15552667144608945,0.11893411613648192,세종태양광
0.7681121668396349,2.8302278392443307,2.1282360417406743,신보령태양광
0.8423891276578622,1.3200571506875531,0.9943876425682112,여수엑스포태양광
0.7473046720577311,4.42500139960763,3.25166509081695,영흥태양광
0.5356772629824031,2.3172551220190565,1.66986096282175,예천태양광
0.7122868393365,0.394414604385816,0.24623500714555877,울산태양광#1
0.7952574411403921,1.9885773734342889,1.3726258050715243,인천아시아드태양광
0.7914061698014816,0.9455311019133059,0.6687536154719095,인천태양광
0.7768845661150475,0.8167846865014879,0.6289998306344837,제주대태양광
0.7249257123836214,1.714478045887217,1.3209138109553389,제주성읍리태양광
0.8586236411162805,0.6233749948255382,0.48725369081894976,제주태양광
