feature,importance
일조시간,0.4254638
일사량,0.29764366
총강수량,0.13413714
평균기온,0.036355432
평균운량,0.036074255
평균습도,0.03600924
평균풍속,0.017293092
총적설량,0.017023422
설비용량(MW),0.0
