Model,R2,RMSE,MAE
Voting,0.7284135146100139,2.165175711226995,1.4196157985119964
Stacking,0.7342292465208571,2.141867805273918,1.3994871703603187
Blending,0.7339648734839952,2.14293284222831,1.4070857148788631
