feature,importance
일조시간,0.36921865
일사량,0.26624253
총강수량,0.09611658
평균습도,0.0860761
평균기온,0.05997904
평균운량,0.056924712
평균풍속,0.039987326
총적설량,0.025455095
설비용량(MW),0.0
