Model,R2,RMSE,MAE
Voting,0.8099796466319804,2.0284623351501323,1.4853207078624504
Stacking,0.8095418212624826,2.030797877816806,1.5267622216424732
Blending,0.8131262736305965,2.011597143510269,1.4848624684989749
