feature,importance
일사량,0.30549145
일조시간,0.30009732
평균습도,0.11195774
평균운량,0.0720501
평균기온,0.06677525
평균풍속,0.057595998
총강수량,0.053414382
총적설량,0.03261786
설비용량(MW),0.0
