feature,importance
일사량,0.8272525045299547
일조시간,0.05685724330297456
평균습도,0.030015618408471407
평균기온,0.02932838234467742
평균풍속,0.021676626294443554
총강수량,0.01964306462436673
평균운량,0.013399349580860401
총적설량,0.0018272109142511575
설비용량(MW),0.0
