모델,R²,RMSE,MAE,우수모델
Linear Regression,0.8203273100013309,16.143339948670206,5.240392172801869,
Random Forest,0.9394850743131807,9.368792266230809,2.1252236823438917,✅
XGBoost,0.9318215607524016,9.944338175019126,2.205910004935356,
