Model,R2,RMSE,MAE
Voting,0.8043407803797753,0.6166081120585468,0.4423549195842882
Stacking,0.7966890704777674,0.6285494322344961,0.44426080413508284
Blending,0.8014369736276226,0.6211668451964161,0.42609102479675764
