구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
서울,"3,795.32","4,584.52","4,763.75","6,387.37","7,167.28","4,398.08","4,794.04","4,029.27","5,045.46","4,713","3,758.25","3,265.41"
부산,"13,772.6","16,084.09","16,137.15","19,419.71","23,706.08","16,731.15","17,819.67","16,357.65","15,119.52","18,085.75","14,508.68","14,769.25"
대구,"22,470.82","25,515.19","25,419.04","31,409.86","36,898.98","28,556.36","27,061.51","22,467.71","24,698.26","27,552.63","22,149.93","20,450.18"
인천,"8,216.14","9,664.45","10,030.21","13,418.38","15,435.59","9,520.47","11,582.25","9,750.17","11,144.36","10,837.73","7,966.47","6,981.05"
광주,"18,840.79","21,569.48","24,343.1","31,715.66","36,069.59","26,990.43","26,427.31","24,029.88","26,985.24","28,742.21","20,631.63","12,374.35"
대전,"3,444.37","3,997.29","4,144.4","5,671.97","6,661.99","4,682.61","4,608.52","3,830.69","4,747.5","4,577.59","3,647.33","2,538.7"
울산,"7,539.37","8,846.09","8,720.28","10,623.48","12,971.78","9,350.6","8,937.5","8,464.37","7,483.92","8,396.5","7,206.13","7,169.53"
세종,"4,722.75","5,332.55","5,664.08","7,703.02","8,863.52","6,241.16","6,475.39","5,319.53","6,198.01","6,275.99","4,671.81","3,146.8"
경기,"92,907.6","113,260.35","118,872.02","163,250.8","185,157.52","123,226.05","138,579.39","111,645.38","136,097.28","126,260.34","95,528.35","72,361.68"
충북,"91,980.42","107,971.26","110,582.19","150,606.52","175,775.77","127,620.56","126,545.64","101,305.69","127,547.6","119,034.42","91,359.16","56,836.77"
충남,"220,301.32","253,646.54","266,131.05","359,175.05","416,126.48","284,721.44","301,498.24","242,517.64","289,796.93","294,243.02","219,234.05","150,434.92"
전남,"383,808.32","430,568.79","470,361.78","586,416.68","660,057.62","481,483.19","505,616.63","448,632.81","458,349.21","561,545.83","404,585.24","310,811.68"
경북,"228,398.82","268,103.68","265,550.23","343,123.21","403,137.72","308,233.91","286,130.09","241,589.02","266,446.61","280,949.29","233,145.13","202,829.36"
경남,"123,700.39","142,179.83","150,658.56","178,698.95","211,406.41","156,365.28","155,602.28","134,026.48","137,286.88","163,119.57","125,448.4","121,086.56"
제주,"41,042.95","46,261.11","58,581.86","71,878.79","75,469.9","56,670.01","63,424.22","64,862.51","49,443.71","61,304.45","46,999.94","29,970.42"
강원,"123,900.45","152,963.24","157,144.74","212,047.22","232,756.74","162,953.25","167,842.96","134,835.4","166,621.62","145,915.52","125,943.43","94,968.96"
전북,"331,811.66","375,634.28","404,969.61","546,970.84","619,502.05","458,693.78","447,850.7","391,145.58","442,637.27","482,057.64","350,787.24","229,390.88"
