Model,R2,RMSE,MAE
Voting,0.8205948980235578,0.8808358795610641,0.6085122917086828
Stacking,0.8235533924933747,0.8735429404093171,0.6299344025150208
Blending,0.8241161231404999,0.8721488587928814,0.6270757058323705
