feature,importance
일조시간,0.34581235
일사량,0.28861699
총강수량,0.10665878
평균습도,0.080453455
평균기온,0.062166017
평균운량,0.056403928
평균풍속,0.042854495
총적설량,0.017033983
설비용량(MW),0.0
