Model,R2,RMSE,MAE
Voting,0.7928397188817145,0.8089892479307874,0.6281884800675877
Stacking,0.7922869509075288,0.81006784619444,0.6316124801437089
Blending,0.7887637280649927,0.8169091316642859,0.6268171018322976
