날짜,발전기명,설비용량(MW),발전량_예측(MWh),평균기온,평균습도,총강수량,총적설량,평균풍속,일조시간,일사량,평균운량,위도,경도
2026-06-02,신보령태양광,4.038,3.4965562140000106,22.691164,64.2521,0.0,0.0,2.5741515,13.08232,0.097955994,37.958332,36.384039546857,126.490749942035
2026-05-27,인천태양광,1.575,0.713845316,19.195501,88.25,1.6,0.0,2.5208402,0.0,0.016091999,86.916664,37.5114279,126.6079808
2026-05-28,인천태양광,1.575,0.794587628,18.728838,88.75,0.0,0.0,2.7002747,10.332474,0.074988,18.333334,37.5114279,126.6079808
2026-05-29,인천태양광,1.575,0.7858820860000003,17.203167,86.458916,0.0,0.0,2.2875502,13.288401,0.089784004,15.708333,37.5114279,126.6079808
2026-05-30,인천태양광,1.575,0.8596849940000002,19.14608,79.753,0.0,0.0,2.7556207,13.468492,0.102887996,0.0,37.5114279,126.6079808
2026-05-31,인천태양광,1.575,0.8538145240000004,20.193998,75.8405,0.0,0.0,2.1447499,12.885664,0.10116,47.208332,37.5114279,126.6079808
2026-06-01,인천태양광,1.575,0.8821382660000001,22.302332,58.333202,0.0,0.0,1.4389261,14.2747,0.078696,73.958336,37.5114279,126.6079808
2026-06-02,인천태양광,1.575,0.8814555240000002,25.879423,46.601746,0.0,0.0,2.7268517,11.740217,0.094788,39.5,37.5114279,126.6079808
2026-05-27,인천아시아드태양광,2.743,2.567726673999996,19.349499,85.833336,1.8,0.0,1.2981387,0.0,0.018108001,86.75,37.5642135,127.0016985
2026-05-28,인천아시아드태양광,2.743,2.7874437839999997,19.95575,84.75,0.0,0.0,1.1228378,7.7489257,0.063792,32.75,37.5642135,127.0016985
2026-05-29,인천아시아드태양광,2.743,3.9533222739999934,19.12099,79.41032,0.0,0.0,1.0749139,12.471875,0.092447996,8.166667,37.5642135,127.0016985
2026-05-30,인천아시아드태양광,2.743,4.251503465999993,20.308332,72.661606,0.0,0.0,1.8430275,13.46666,0.102672,0.125,37.5642135,127.0016985
2026-05-31,인천아시아드태양광,2.743,4.017968427999993,21.710417,69.55776,0.0,0.0,1.4820279,12.197747,0.10062,50.166668,37.5642135,127.0016985
2026-06-01,인천아시아드태양광,2.743,3.7310644179999937,22.97917,53.269405,0.0,0.0,1.2188464,13.161824,0.074952,73.041664,37.5642135,127.0016985
2026-06-02,인천아시아드태양광,2.743,4.106320147999994,26.979166,38.538307,0.0,0.0,2.0547824,11.724165,0.09468,46.75,37.5642135,127.0016985
2026-05-27,서울태양광,1.301,0.6296702479999998,19.491335,85.708336,1.7,0.0,1.2082841,0.0,0.017928,86.75,37.54394733,126.9196472
2026-05-28,서울태양광,1.301,0.7715649639999996,20.105917,84.958336,0.0,0.0,0.9851853,7.972045,0.06606,32.416668,37.54394733,126.9196472
2026-05-29,서울태양광,1.301,0.8941422319999995,19.170418,79.99406,0.0,0.0,1.0073018,12.410346,0.092772,8.083333,37.54394733,126.9196472
2026-05-30,서울태양광,1.301,0.8883825199999995,19.93958,74.73226,0.0,0.0,2.0269692,13.468515,0.102672,0.083333336,37.54394733,126.9196472
2026-05-31,서울태양광,1.301,0.8138690699999994,21.170835,72.43452,0.0,0.0,1.5476522,12.319515,0.10062,50.916668,37.54394733,126.9196472
2026-06-01,서울태양광,1.301,0.8516121419999985,22.937498,56.17422,0.0,0.0,1.1450588,14.098504,0.076464,72.666664,37.54394733,126.9196472
2026-06-02,서울태양광,1.301,0.8718014999999986,26.758331,40.50084,0.0,0.0,2.0871003,11.724239,0.094248,46.833332,37.54394733,126.9196472
2026-05-27,서천태양광,3.844,1.7371629699999915,19.663916,90.75,2.4,0.0,2.7281659,0.0,0.016487999,89.333336,36.1463852,126.5011901
2026-05-28,서천태양광,3.844,1.876948799999995,16.278502,96.791664,0.1,0.0,5.0813117,4.4524393,0.040068,72.333336,36.1463852,126.5011901
2026-05-29,서천태양광,3.844,1.8862971899999943,15.834603,89.5856,0.0,0.0,2.753731,8.132895,0.059651997,27.291666,36.1463852,126.5011901
2026-05-30,서천태양광,3.844,1.9721845259999946,18.604086,86.757904,0.0,0.0,1.7609,13.012492,0.103896,21.708334,36.1463852,126.5011901
2026-05-31,서천태양광,3.844,1.8107818619999954,19.197834,80.469475,0.0,0.0,1.6253833,12.8579445,0.099396,32.791668,36.1463852,126.5011901
2026-06-01,서천태양광,3.844,1.7883710519999936,21.239502,78.20049,0.0,0.0,1.7315392,14.3024645,0.084456,91.625,36.1463852,126.5011901
2026-06-02,서천태양광,3.844,2.1364039079999957,22.137419,66.68412,0.0,0.0,2.3802707,12.976395,0.099755995,45.458332,36.1463852,126.5011901
2026-05-27,제주태양광,1.149,0.4488326399999995,20.08225,95.541664,0.0,0.0,2.5215428,0.0,0.0216,88.875,33.5345853,126.5953756
