Model,R2,RMSE,MAE
Voting,0.8584917194708397,0.16066874282704732,0.12204477715776742
Stacking,0.8611538135287135,0.15915029448576398,0.12127484895745771
Blending,0.8650789118891389,0.1568846257652552,0.12075783229493398
