Model,R2,RMSE,MAE
Voting,0.8471043668513702,0.6419521481801095,0.48852461282155346
Stacking,0.8470428081187145,0.6420813663369699,0.49585420651378626
Blending,0.8467616348200862,0.6426712478657487,0.4951499382234027
