Model,R2,RMSE,MAE
Voting,0.8260022717789024,1.8499578739806373,1.4016191426435278
Stacking,0.8536608380483985,1.6965643302302027,1.2524611549452407
Blending,0.8490519933206495,1.7230732539486426,1.2154675624208982
