feature,importance
일사량,0.23868383
설비용량(MW),0.21924856
일조시간,0.21763161
평균기온,0.14140868
평균습도,0.056650914
평균운량,0.04664748
총강수량,0.039072856
평균풍속,0.02127651
총적설량,0.019379502
