발전기명,Model,R2,RMSE,MAE
경상대태양광,Voting,0.6976346777193803,0.6979301382819342,0.4367378682046743
경상대태양광,Stacking,0.6942356781391794,0.7018420197223181,0.4350976093560503
경상대태양광,Blending,0.685464408409223,0.7118374944571891,0.4319995099638863
고흥만수상태양광,Voting,0.7117261439270484,56.14021622601108,37.250986717841386
고흥만수상태양광,Stacking,0.6991175068629006,57.354818766952576,37.103809857485274
고흥만수상태양광,Blending,0.730598171264335,54.2714871124103,36.18008850668502
광양항세방태양광,Voting,0.7284135146100139,2.165175711226995,1.4196157985119964
광양항세방태양광,Stacking,0.7342292465208571,2.141867805273918,1.3994871703603187
광양항세방태양광,Blending,0.7339648734839952,2.14293284222831,1.4070857148788631
구미태양광,Voting,0.8043407803797753,0.6166081120585468,0.4423549195842882
구미태양광,Stacking,0.7966890704777674,0.6285494322344961,0.44426080413508284
구미태양광,Blending,0.8014369736276226,0.6211668451964161,0.42609102479675764
당진태양광,Voting,0.6890965451136489,2.1771298842910674,1.4721861272797074
당진태양광,Stacking,0.6903736696518055,2.172653692046969,1.4722757906101294
당진태양광,Blending,0.6939560614049197,2.160048270004962,1.5019880858733232
동해바이오화력본부태양광,Voting,0.7339884306353226,1.1879129482931592,0.7576470063963066
동해바이오화력본부태양광,Stacking,0.711125852296203,1.2379089192311417,0.8056246333119299
동해바이오화력본부태양광,Blending,0.7276999338662911,1.201872025938074,0.7713309003326381
보령태양광,Voting,0.8099796466319804,2.0284623351501323,1.4853207078624504
보령태양광,Stacking,0.8095418212624826,2.030797877816806,1.5267622216424732
보령태양광,Blending,0.8131262736305965,2.011597143510269,1.4848624684989749
서울태양광,Voting,0.7335476439946675,0.9690607705042761,0.7213029574560603
서울태양광,Stacking,0.7444078912511263,0.9491065073235423,0.701878856150468
서울태양광,Blending,0.7469096992218637,0.9444500228654674,0.6752227160528619
서천태양광,Voting,0.8345901595911411,2.25993830569726,1.7503606265844736
서천태양광,Stacking,0.8384619665446327,2.233332098762269,1.7279023533816729
서천태양광,Blending,0.8489181229528937,2.159842576546514,1.6670363246204818
세종태양광,Voting,0.8584917194708397,0.16066874282704732,0.12204477715776742
세종태양광,Stacking,0.8611538135287135,0.15915029448576398,0.12127484895745771
세종태양광,Blending,0.8650789118891389,0.1568846257652552,0.12075783229493398
신보령태양광,Voting,0.7713572868378799,2.847981952972141,2.109250325164944
신보령태양광,Stacking,0.7739879176405663,2.8315509383169957,2.1092126372052626
신보령태양광,Blending,0.7790577051447584,2.7996128662257775,2.1024538611267296
여수엑스포태양광,Voting,0.8286079359897146,1.3756323972163984,1.0148954615816899
여수엑스포태양광,Stacking,0.828913938978533,1.3744038231714522,1.028555344891862
여수엑스포태양광,Blending,0.835184840875119,1.3489803323577478,1.0176231704433933
영흥태양광,Voting,0.706817210816812,4.7243026039503,3.4347740630854857
영흥태양광,Stacking,0.6979917335382007,4.794881589800426,3.4003588472416895
영흥태양광,Blending,0.72145381147408,4.60486689746569,3.280677156383338
예천태양광,Voting,0.46563606017436987,2.4331085200087377,1.7035821666091902
예천태양광,Stacking,0.4598892730837222,2.4461568965352107,1.7234493287754418
예천태양광,Blending,0.46626174709089085,2.431683638996736,1.7296891303022954
울산태양광#1,Voting,0.732666537516959,0.3766102045005694,0.24668061134874744
울산태양광#1,Stacking,0.7355867112418957,0.37454763625435306,0.2410117082525054
울산태양광#1,Blending,0.7394905040036386,0.371772447872108,0.23769625184460252
인천아시아드태양광,Voting,0.8260022717789024,1.8499578739806373,1.4016191426435278
인천아시아드태양광,Stacking,0.8536608380483985,1.6965643302302027,1.2524611549452407
인천아시아드태양광,Blending,0.8490519933206495,1.7230732539486426,1.2154675624208982
인천태양광,Voting,0.8205948980235578,0.8808358795610641,0.6085122917086828
인천태양광,Stacking,0.8235533924933747,0.8735429404093171,0.6299344025150208
인천태양광,Blending,0.8241161231404999,0.8721488587928814,0.6270757058323705
제주대태양광,Voting,0.7928397188817145,0.8089892479307874,0.6281884800675877
제주대태양광,Stacking,0.7922869509075288,0.81006784619444,0.6316124801437089
제주대태양광,Blending,0.7887637280649927,0.8169091316642859,0.6268171018322976
제주성읍리태양광,Voting,0.7084536464318959,1.7382587599527473,1.3589205872417183
제주성읍리태양광,Stacking,0.7065099894635751,1.744043374295626,1.345298265073234
제주성읍리태양광,Blending,0.7196366086858669,1.704595242563936,1.3173222496337893
제주태양광,Voting,0.8471043668513702,0.6419521481801095,0.48852461282155346
제주태양광,Stacking,0.8470428081187145,0.6420813663369699,0.49585420651378626
제주태양광,Blending,0.8467616348200862,0.6426712478657487,0.4951499382234027
