Model,R2,RMSE,MAE
Voting,0.6976346777193803,0.6979301382819342,0.4367378682046743
Stacking,0.6942356781391794,0.7018420197223181,0.4350976093560503
Blending,0.685464408409223,0.7118374944571891,0.4319995099638863
