feature,importance
일사량,0.3081702
일조시간,0.3028974
평균습도,0.09620374
평균기온,0.07323127
총강수량,0.068703994
평균운량,0.060985517
평균풍속,0.05746374
총적설량,0.032344107
설비용량(MW),0.0
