R2,RMSE,MAE,발전기명
0.6976346777193803,0.6979301382819342,0.4367378682046743,경상대태양광
0.7117261439270484,56.14021622601108,37.250986717841386,고흥만수상태양광
0.7284135146100139,2.165175711226995,1.4196157985119964,광양항세방태양광
0.8043407803797753,0.6166081120585468,0.4423549195842882,구미태양광
0.6890965451136489,2.1771298842910674,1.4721861272797074,당진태양광
0.7339884306353226,1.1879129482931592,0.7576470063963066,동해바이오화력본부태양광
0.8099796466319804,2.0284623351501323,1.4853207078624504,보령태양광
0.7335476439946675,0.9690607705042761,0.7213029574560603,서울태양광
0.8345901595911411,2.25993830569726,1.7503606265844736,서천태양광
0.8584917194708397,0.16066874282704732,0.12204477715776742,세종태양광
0.7713572868378799,2.847981952972141,2.109250325164944,신보령태양광
0.8286079359897146,1.3756323972163984,1.0148954615816899,여수엑스포태양광
0.706817210816812,4.7243026039503,3.4347740630854857,영흥태양광
0.46563606017436987,2.4331085200087377,1.7035821666091902,예천태양광
0.732666537516959,0.3766102045005694,0.24668061134874744,울산태양광#1
0.8260022717789024,1.8499578739806373,1.4016191426435278,인천아시아드태양광
0.8205948980235578,0.8808358795610641,0.6085122917086828,인천태양광
0.7928397188817145,0.8089892479307874,0.6281884800675877,제주대태양광
0.7084536464318959,1.7382587599527473,1.3589205872417183,제주성읍리태양광
0.8471043668513702,0.6419521481801095,0.48852461282155346,제주태양광
