feature,importance
일조시간,0.3631536
일사량,0.2899496
총강수량,0.10719845
평균습도,0.056805957
평균기온,0.05672333
평균운량,0.054645948
평균풍속,0.05016855
총적설량,0.02135452
설비용량(MW),0.0
