발전기명,날짜,일사량(MJ/m²),기온(°C),습도(%)
여수엑스포태양광,2025-11-11 15:00:00,5.74344,15.6,43.6
여수엑스포태양광,2025-11-11 18:00:00,1.3824,11.2,63.4
여수엑스포태양광,2025-11-11 21:00:00,0.0,9.1,67.9
여수엑스포태양광,2025-11-12 00:00:00,0.0,7.9,74.0
여수엑스포태양광,2025-11-12 03:00:00,0.0,7.2,79.6
여수엑스포태양광,2025-11-12 06:00:00,0.0,7.0,76.0
영흥태양광,2025-11-11 09:00:00,0.6102000000000001,9.6,70.0
영흥태양광,2025-11-11 12:00:00,4.55976,11.0,73.4
영흥태양광,2025-11-11 15:00:00,4.812480000000001,13.1,69.7
영흥태양광,2025-11-11 18:00:00,1.1880000000000002,14.5,68.6
영흥태양광,2025-11-11 21:00:00,0.0,14.2,69.7
영흥태양광,2025-11-12 00:00:00,0.0,13.0,85.1
영흥태양광,2025-11-12 03:00:00,0.0,12.1,86.9
영흥태양광,2025-11-12 06:00:00,0.0,11.2,89.9
예천태양광,2025-11-11 09:00:00,0.8380799999999999,7.3,47.7
예천태양광,2025-11-11 12:00:00,5.3006400000000005,12.6,38.4
예천태양광,2025-11-11 15:00:00,5.58144,13.0,42.9
예천태양광,2025-11-11 18:00:00,1.1005200000000002,8.9,65.3
예천태양광,2025-11-11 21:00:00,0.0,7.3,78.2
예천태양광,2025-11-12 00:00:00,0.0,5.2,89.0
예천태양광,2025-11-12 03:00:00,0.0,4.3,82.8
예천태양광,2025-11-12 06:00:00,0.0,4.0,80.9
울산태양광#1,2025-11-11 09:00:00,0.95364,9.8,37.8
울산태양광#1,2025-11-11 12:00:00,5.006880000000001,14.1,36.7
울산태양광#1,2025-11-11 15:00:00,5.564160000000001,15.2,34.3
울산태양광#1,2025-11-11 18:00:00,1.23984,12.7,50.9
울산태양광#1,2025-11-11 21:00:00,0.0,11.1,58.8
울산태양광#1,2025-11-12 00:00:00,0.0,10.1,59.8
울산태양광#1,2025-11-12 03:00:00,0.0,10.4,66.8
울산태양광#1,2025-11-12 06:00:00,0.0,10.5,74.8
인천태양광,2025-11-11 09:00:00,0.6058800000000001,5.5,74.7
인천태양광,2025-11-11 12:00:00,4.5846,10.9,73.8
인천태양광,2025-11-11 15:00:00,4.30056,12.4,77.4
인천태양광,2025-11-11 18:00:00,1.2193200000000002,10.1,84.2
인천태양광,2025-11-11 21:00:00,0.0,8.1,95.3
인천태양광,2025-11-12 00:00:00,0.0,6.8,99.5
인천태양광,2025-11-12 03:00:00,0.0,6.0,99.9
인천태양광,2025-11-12 06:00:00,0.0,5.3,100.0
제주대태양광,2025-11-11 09:00:00,0.86508,8.7,62.4
제주대태양광,2025-11-11 12:00:00,5.14728,11.5,50.4
제주대태양광,2025-11-11 15:00:00,5.893560000000001,11.5,57.1
제주대태양광,2025-11-11 18:00:00,1.6178400000000002,8.9,62.8
제주대태양광,2025-11-11 21:00:00,0.0,9.1,53.1
