,0
일사량,1.7998472087989534
평균기온,0.2864245778533799
평균습도,0.25459889828839555
평균운량,0.23603015975237468
평균풍속,0.1920216565295459
총강수량,0.045633046332863546
총적설량,0.03570453808419187
일조시간,0.014969506314858315
설비용량(MW),0.0
